CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
981.95,99.9,0,0,18800,-1.38,25.03,0,2.25
935,99.9,0,0,18850,-1.49,24.05,0,2.35
886,99.9,0,0,18900,-1.65,23.19,0,2.55
836.8,99.8,18.78,99.34,18950,-1.88,22.4,0.1,2.85
786.95,99.7,18.15,99.19,19000,-2.15,21.61,0.2,3.2
741.75,99.5,22.51,96.55,19050,-2.42,20.72,0.4,3.5
685.15,99.2,0,0,19100,-2.74,19.82,0.7,3.85
632,98.8,0,0,19150,-3.14,18.94,1.1,4.3
586.7,98.1,13.41,99.21,19200,-3.69,18.14,1.8,4.95
541.3,97.1,17.03,95.9,19250,-4.18,17.12,2.8,5.4
491,95.8,15.54,95.78,19300,-5.07,16.38,4.1,6.45
437.95,93.9,12.01,97.71,19350,-6.32,15.72,6,8
395.5,91.4,14.86,92.37,19400,-8.04,15.16,8.5,10.25
348.15,88.3,14.25,90.27,19450,-10.51,14.75,11.6,13.75
"303.45
S
B",84.4,14.1,86.76,19500,-13.71,14.39,15.5,18.55
259.65,79.8,13.74,82.74,19550,-17.78,14.05,20.1,25.05
219.15,74.4,13.62,77.36,19600,-22.96,13.82,25.5,34.2
180.2,68.4,13.3,71.34,19650,-29.08,13.6,31.5,46.05
146.6,61.9,13.3,63.98,19700,-36.09,13.37,38,61.05
115.2,55,13.08,56.19,19750,-43.86,13.2,44.9,80.05
88.4,48,12.94,47.91,19800,-52.07,13.06,51.9,103.2
65.6,41.1,12.78,39.55,19850,-60.27,13.01,58.8,131.15
47.9,34.4,12.76,31.66,19900,-67.98,13.03,65.5,163.6
33.9,28.2,12.73,24.51,19950,-74.83,13.11,71.7,200.1
24,22.7,12.85,18.61,20000,-80.99,13.06,77.2,239
16.3,17.8,12.89,13.62,20050,-85.52,13.35,82.1,282.15
11.25,13.6,13.08,9.92,20100,-89.32,13.52,86.3,326.65
7.8,10.2,13.32,7.18,20150,-93.09,13.14,89.7,371.3
5.65,7.4,13.71,5.32,20200,-94.49,13.86,92.5,419.9
4.05,5.3,14.07,3.9,20250,-92.74,16.98,94.6,474
3.3,3.7,14.73,3.13,20300,-93.94,17.66,96.2,522.4
2.6,2.5,15.28,2.46,20350,0,0,97.4,554.05
2.3,1.6,16.08,2.11,20400,-97.56,16.59,98.3,616.75
2.05,1,16.88,1.82,20450,-90.39,26.9,98.9,686.1
1.95,0.6,17.8,1.66,20500,-94.89,23.12,99.3,723
1.75,0.4,18.56,1.46,20550,0,0,99.5,761
1.9,0.2,19.8,1.48,20600,-98.32,20.28,99.7,816.2
1.9,0.1,20.82,1.41,20650,-86.61,40.69,99.8,913.75
1.85,0,21.75,1.33,20700,-96.72,26.15,99.9,920.1
1.85,0,22.75,1.28,20750,0,0,99.9,940
