CallLTP,itmprob,CallIv,CallDelta,StrikePrice,PutDelta,PutIV,ITMProb,PutLTP
975.9,99.4,0,0,18800,-3.29,16.74,0.5,7.2
400.65,99.1,0,0,18850,-3.7,16.35,0.8,8.05
926,98.7,22.87,88.83,18900,-4.1,15.88,1.2,8.8
1029.5,98.3,39.3,75.48,18950,-4.69,15.53,1.6,10.05
830,97.6,21.55,87.34,19000,-5.26,15.08,2.3,11.15
938.65,96.8,37.57,73.72,19050,-5.97,14.67,3.1,12.55
736,95.8,20.39,85.35,19100,-6.6,14.12,4.1,13.6
690.95,94.6,19.99,83.98,19150,-7.67,13.79,5.4,15.85
628.2,93,17.33,85.34,19200,-8.78,13.37,6.9,18.05
600.5,91.1,18.96,81.09,19250,-10.13,12.99,8.8,20.8
545.95,88.9,17.35,80.81,19300,-11.79,12.64,11,24.35
498.45,86.3,16.49,79.4,19350,-13.82,12.34,13.6,28.85
452,83.3,15.71,77.68,19400,-16.28,12.08,16.6,34.65
414.8,79.9,15.75,74.59,19450,-19.13,11.83,20,41.6
370.2,76.2,14.99,72.29,19500,-22.37,11.57,23.7,49.75
333.3,72.1,14.81,68.96,19550,-25.89,11.21,27.8,58.35
293.85,67.7,14.29,65.71,19600,-30.37,11.12,32.2,71.8
255.4,63.1,13.73,62.13,19650,-35.05,10.9,36.8,85.8
221.1,58.3,13.36,58.04,19700,-40.17,10.67,41.6,102.1
190.25,53.4,13.1,53.61,19750,-45.67,10.45,46.5,121
161.65,48.4,12.85,48.97,19800,-51.51,10.16,51.5,141.8
135.95,43.5,12.63,44.18,19850,-57.58,9.94,56.4,166.5
111.85,38.6,12.35,39.27,19900,-63.86,9.62,61.3,193.15
91.85,34,12.19,34.48,19950,-70.54,9.11,65.9,221
74.55,29.6,12.06,29.86,20000,-76.7,8.82,70.3,254.85
60,25.5,11.96,25.54,20050,-83.42,8.17,74.4,289.15
48.2,21.7,11.93,21.64,20100,-92.1,6.69,78.2,323.4
39.2,18.3,12.01,18.31,20150,-98.82,4.84,81.6,366.2
30.7,15.2,11.96,15.12,20200,-99.67,4.57,84.7,415.7
24.55,12.5,12.03,12.54,20250,0,0,87.4,441.95
19.5,10.2,12.1,10.32,20300,0,0,89.7,498.6
15.9,8.2,12.28,8.61,20350,0,0,91.7,533.4
12.95,6.5,12.45,7.15,20400,0,0,93.4,591.95
11.05,5.1,12.75,6.12,20450,0,0,94.8,600
9,3.9,12.92,5.08,20500,0,0,96,685.35
7.7,3,13.21,4.35,20550,-93.81,14.66,96.9,778.4
6.3,2.3,13.38,3.61,20600,0,0,97.6,769.55
5.75,1.7,13.81,3.25,20650,0,0,98.2,765
4.8,1.2,14.02,2.73,20700,-94.36,16.94,98.7,928.85
4.75,0.9,14.62,2.61,20750,0,0,99,900.6
